047m,00H,0XH,LUCYGR,LUCYGO,G,J,K,L,R,310,311,1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,37,38,39,40,42,43,44,45,46,47,48,50,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,70,71,73,75,77,78,79,80,84,88,89,90,92,93,94,95,96,97,98,99,103,104,105,106,107,108,109,110,111,112,113,114,115,117,118,119,120,123,124,125,126,127,128,129,130,131,132,133,134,139,150,201,204,205,206
--,55,--,--,--,74,--,40,36,30,--,--,--,--,30,36,62,25,78,--,--,35,--,30,30,39,--,25,--,>60,37,--,30,60,--,30,--,--,45,--,--,31,35,--,60,--,--,45,>60,40,--,27,30,46,--,--,--,--,45,35,60,--,45,60,30,30,--,--,30,30,45,--,31,--,--,60,--,--,--,--,--,--,--,--,--,--,--,--,--,22,--,--,--,--,--,--,--,30,--,--,--,--,65,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,34,30,--,--,--,--,--,--,--,60,--,--,--,35,--,60,30,--,--,25,--,--,35,--,30,--,--,30,--,--,45,--,--,--,35,--,--,--,--,--,--,--,--,30,--,45,--,--,--,--,45,60,--,--,--,--,30,--,--,--,--,35,--,--,31,--,60,--,--,--,60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,60,>60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,30,--,--,--,--,--,--,--,60,--,--,--,35,--,60,30,--,--,--,--,60,--,--,35,--,--,--,--,--,--,--,--,--,35,--,60,--,--,--,75,--,--,--,--,45,--,--,--,--,--,--,60,--,--,--,30,--,--,--,--,35,--,--,--,--,60,--,--,--,60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,45,30,--,--,--,--,--,--,--,60,--,--,--,35,--,30,30,--,--,--,--,59,--,--,--,--,--,--,--,--,--,--,--,--,35,--,60,--,--,--,53,--,--,--,--,45,--,--,--,--,--,--,60,--,--,--,30,--,--,--,--,29,--,--,--,--,55,--,--,--,60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,45,--,--,--,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,21,30,27,--,--,--,--,26,18,--,30,--,--,26,29,20,27,30,17,--,32,--,32,--,22,13,--,--,--,--,--,30,51,23,--,30,--,22,--,32,--,32,--,--,--,25,36,30,--,--,--,25,20,30,--,27,40,28,--,--,--,--,18,18,--,--,--,24,31,--,--,58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,--,--,--,30,20,--,--,--,20,35,75,25,--,>60,--,35,60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,61,--,--,--,25,11,17,14,--,--,61,--,19,17,15,12,30,22,23,20,20,10,18,16,58,34,34,26,19,15,7,25,--,19,--,--,20,31,20,15,22,--,29,28,30,15,26,28,--,15,20,19,16,--,--,--,25,14,20,13,15,14,20,33,--,20,--,16,19,30,19,28,25,27,--,3,30,--,17,17,25,--,--,55,--,--,35,--,--,55,25,20,40,40,--,30,15,25,30,--,30,30,28,40,--,--,>60,40,32,25,57,>60,--,--,55,--,57,--,--,58,--,--,--,--,--
--,20,7,35,18,--,18,10,10,8,--,>60,25,23,13,12,12,12,15,12,10,10,15,5,11,12,40,46,26,14,8,14,8,14,46,6,33,20,12,30,19,12,9,9,10,21,15,9,16,15,21,8,10,9,13,39,--,59,11,10,11,16,8,10,12,24,19,20,--,11,6,30,14,32,18,15,58,--,15,20,21,13,20,40,>60,40,20,50,40,60,35,40,30,5,30,30,53,14,15,30,27,30,20,30,>60,30,50,60,--,70,30,25,30,--,105,80,55,40,65,65,25,58,--,32,38,38,38
--,12,8,7,5,--,20,8,3,6,--,--,60,40,9,12,12,7,15,5,10,6,15,1,9,7,20,10,24,12,6,12,7,20,45,6,36,25,6,30,16,12,6,45,2,15,15,8,12,16,16,7,8,6,12,30,--,24,12,12,5,14,8,8,8,12,30,12,--,10,10,30,6,19,15,15,58,--,6,>60,20,8,20,60,--,35,40,70,35,60,30,35,30,10,30,60,72,15,15,5,30,30,25,30,--,35,10,60,67,55,25,30,30,75,55,60,75,40,70,56,--,52,--,25,29,29,29
20,13,11,9,6,29,31,12,2,9,>60,--,39,>60,12,15,13,7,15,20,12,6,15,8,11,17,26,12,45,15,8,20,9,28,61,6,29,33,7,30,16,10,6,45,22,20,15,14,16,20,18,6,8,7,10,30,65,29,12,12,5,14,10,10,9,12,--,11,--,10,10,30,8,25,20,20,61,--,7,--,20,30,20,60,75,60,22,60,35,60,28,35,30,15,30,60,60,15,20,30,25,25,8,30,65,33,60,60,75,40,15,40,30,70,>60,63,60,28,>60,75,>60,70,--,17,31,14,17
20,19,18,15,8,29,30,17,8,14,--,--,70,--,15,24,20,11,25,29,17,10,15,12,11,24,31,8,50,15,8,21,10,30,30,10,24,35,12,35,20,20,8,60,25,20,15,16,20,21,21,7,12,9,11,30,33,24,12,13,7,25,12,14,12,20,--,20,--,13,30,55,12,20,20,20,59,--,11,--,25,31,25,60,90,60,60,60,35,60,35,35,60,30,30,60,60,15,20,30,30,30,15,30,65,35,60,60,60,30,30,30,60,75,--,60,60,60,--,--,--,91,--,56,66,26,26
